"","x"
"1","Group4"
"2","Group3"
"3","Group6"
"4","Group3"
"5","Group4"
"6","Group3"
"7","Group5"
"8","Group7"
"9","Group3"
"10","Group5"
"11","Group5"
"12","Group2"
"13","Group4"
"14","Group5"
"15","Group2"
"16","Group3"
"17","Group5"
"18","Group7"
"19","Group3"
"20","Group3"
"21","Group1"
"22","Group3"
"23","Group1"
"24","Group5"
"25","Group6"
"26","Group3"
"27","Group7"
"28","Group1"
"29","Group4"
"30","Group4"
"31","Group6"
"32","Group1"
"33","Group1"
"34","Group7"
"35","Group3"
"36","Group5"
"37","Group6"
"38","Group2"
"39","Group7"
"40","Group7"
"41","Group5"
"42","Group2"
"43","Group1"
"44","Group2"
"45","Group6"
"46","Group6"
"47","Group7"
"48","Group6"
"49","Group7"
"50","Group4"
"51","Group3"
"52","Group6"
"53","Group4"
"54","Group6"
"55","Group7"
"56","Group6"
"57","Group6"
"58","Group6"
"59","Group4"
"60","Group7"
"61","Group3"
"62","Group6"
"63","Group5"
"64","Group6"
"65","Group5"
"66","Group3"
"67","Group7"
"68","Group1"
"69","Group6"
"70","Group2"
"71","Group5"
"72","Group5"
"73","Group6"
"74","Group7"
"75","Group5"
"76","Group7"
"77","Group3"
"78","Group5"
"79","Group6"
"80","Group4"
"81","Group1"
"82","Group3"
"83","Group5"
"84","Group7"
"85","Group5"
"86","Group7"
"87","Group4"
"88","Group3"
"89","Group6"
"90","Group1"
"91","Group1"
"92","Group5"
"93","Group3"
"94","Group7"
"95","Group7"
"96","Group3"
"97","Group6"
"98","Group6"
"99","Group3"
"100","Group2"
"101","Group3"
"102","Group7"
"103","Group7"
"104","Group7"
"105","Group7"
"106","Group3"
"107","Group7"
"108","Group7"
"109","Group3"
"110","Group2"
"111","Group2"
"112","Group3"
"113","Group3"
"114","Group6"
"115","Group7"
"116","Group7"
"117","Group1"
"118","Group3"
"119","Group3"
"120","Group3"
"121","Group7"
"122","Group2"
"123","Group1"
"124","Group2"
"125","Group6"
"126","Group5"
"127","Group7"
"128","Group5"
"129","Group3"
"130","Group7"
"131","Group2"
"132","Group3"
"133","Group6"
"134","Group3"
"135","Group5"
"136","Group3"
"137","Group5"
"138","Group5"
"139","Group7"
"140","Group2"
"141","Group6"
"142","Group3"
"143","Group1"
"144","Group6"
"145","Group3"
"146","Group5"
"147","Group1"
"148","Group6"
"149","Group6"
"150","Group3"
"151","Group3"
"152","Group1"
"153","Group5"
"154","Group7"
"155","Group7"
"156","Group4"
"157","Group3"
"158","Group6"
"159","Group2"
"160","Group5"
"161","Group7"
"162","Group1"
"163","Group4"
"164","Group7"
"165","Group5"
"166","Group6"
"167","Group1"
"168","Group7"
"169","Group7"
"170","Group7"
"171","Group6"
"172","Group6"
"173","Group1"
"174","Group5"
"175","Group7"
"176","Group6"
"177","Group4"
"178","Group7"
"179","Group3"
"180","Group4"
"181","Group6"
"182","Group6"
"183","Group6"
"184","Group1"
"185","Group5"
"186","Group6"
"187","Group3"
"188","Group2"
"189","Group5"
"190","Group7"
"191","Group1"
"192","Group7"
"193","Group7"
"194","Group7"
"195","Group7"
"196","Group3"
"197","Group1"
"198","Group4"
"199","Group6"
"200","Group3"
"201","Group2"
"202","Group6"
"203","Group7"
"204","Group2"
"205","Group6"
"206","Group7"
"207","Group6"
"208","Group1"
"209","Group7"
"210","Group4"
"211","Group6"
"212","Group3"
"213","Group3"
"214","Group3"
"215","Group7"
"216","Group6"
"217","Group5"
"218","Group2"
"219","Group7"
"220","Group7"
"221","Group2"
"222","Group6"
"223","Group3"
"224","Group2"
"225","Group4"
"226","Group4"
"227","Group2"
"228","Group3"
"229","Group1"
"230","Group3"
"231","Group3"
"232","Group4"
"233","Group2"
"234","Group6"
"235","Group1"
"236","Group5"
"237","Group3"
"238","Group7"
"239","Group6"
"240","Group7"
"241","Group3"
"242","Group3"
"243","Group2"
"244","Group7"
"245","Group7"
"246","Group2"
"247","Group6"
"248","Group3"
"249","Group3"
"250","Group3"
"251","Group7"
"252","Group6"
"253","Group2"
"254","Group7"
"255","Group6"
"256","Group2"
"257","Group5"
"258","Group4"
"259","Group2"
"260","Group6"
"261","Group6"
"262","Group3"
"263","Group2"
"264","Group5"
"265","Group2"
"266","Group5"
"267","Group3"
"268","Group7"
"269","Group3"
"270","Group3"
"271","Group5"
"272","Group3"
"273","Group6"
"274","Group3"
"275","Group5"
"276","Group5"
"277","Group1"
"278","Group1"
"279","Group3"
"280","Group2"
"281","Group3"
"282","Group3"
"283","Group7"
"284","Group6"
"285","Group3"
"286","Group4"
"287","Group2"
"288","Group7"
"289","Group4"
"290","Group6"
"291","Group7"
"292","Group6"
"293","Group3"
"294","Group7"
"295","Group4"
"296","Group3"
"297","Group7"
"298","Group5"
"299","Group1"
"300","Group2"
